intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
1.045901,0.006270,-0.705330,0.105939,0.022103,0.031315,0.608612,0.194890,1.342891,0.266653,-0.632407,0.267620,0.001500,0.88,-0.615,23.8
0.987441,0.006313,0.322521,0.105306,-0.001317,0.031333,0.294672,0.196204,0.319016,0.268544,-0.799339,0.269355,0.001500,0.65,-0.505,23.8
0.969186,0.006344,-0.639864,0.107086,-0.043878,0.031855,0.030095,0.198200,1.158251,0.270704,-0.734354,0.271770,0.001500,0.88,-0.505,23.8
1.007626,0.006667,0.575235,0.112305,-0.034144,0.033400,0.310742,0.208215,0.129509,0.279491,-0.933159,0.280323,0.001500,0.65,-0.395,23.8
1.018112,0.007374,-0.669602,0.125388,-0.070429,0.037083,-0.262218,0.232746,1.095815,0.310531,-1.153254,0.311961,0.001500,0.88,-0.395,23.8
0.972482,0.006670,0.400870,0.111863,-0.040532,0.033333,-0.545396,0.208392,0.929737,0.283952,-0.702227,0.284949,0.001500,0.65,-0.285,23.8
1.018970,0.008096,-0.419770,0.137524,0.038077,0.040088,0.258444,0.248722,0.843363,0.342448,-1.072548,0.343955,0.001500,0.88,-0.285,23.8
1.001000,0.007145,0.461800,0.119811,-0.021447,0.035694,-0.357029,0.223571,0.920122,0.299458,-0.684725,0.300451,0.001500,0.65,-0.175,23.8
0.977805,0.008325,-0.310248,0.139492,-0.025392,0.041585,0.167525,0.264217,1.789661,0.349312,-1.277899,0.351420,0.001500,0.88,-0.175,23.8
1.022069,0.007494,0.489418,0.124816,-0.017615,0.037299,-0.176718,0.234543,0.096235,0.319140,-0.897142,0.319993,0.001500,0.65,-0.065,23.8
0.985644,0.008674,-0.347291,0.147469,-0.127192,0.044189,-0.180759,0.273273,0.679157,0.367480,-0.766558,0.368694,0.001500,0.88,-0.065,23.8
1.004970,0.007564,0.624124,0.127493,-0.094969,0.038432,-0.104097,0.235508,0.053331,0.318781,-1.008123,0.319515,0.001500,0.65,0.045,23.8
0.990378,0.008958,-0.220550,0.149241,-0.043994,0.045130,0.314264,0.280701,1.012154,0.378799,-0.702229,0.380110,0.001500,0.88,0.045,23.8
0.982989,0.007490,0.565445,0.123206,0.165999,0.036336,0.720924,0.228987,-0.143698,0.315338,-1.177325,0.316294,0.001500,0.65,-0.945,32.0
1.001795,0.004565,-0.272739,0.076216,0.084535,0.022510,0.786271,0.140589,0.826240,0.195140,-0.439391,0.195707,0.001500,0.88,-0.945,32.0
0.975873,0.007397,0.894411,0.121555,0.086699,0.036664,0.827707,0.228142,0.178544,0.314918,0.216279,0.315008,0.001500,0.65,-0.835,32.0
0.998580,0.004848,-0.373046,0.081899,0.066288,0.023963,0.541610,0.150412,1.046252,0.205532,-0.384400,0.206176,0.001500,0.88,-0.835,32.0
0.973495,0.006844,0.678858,0.112608,0.131870,0.033699,0.668206,0.211299,0.147885,0.283266,-0.695956,0.283885,0.001500,0.65,-0.725,32.0
0.985655,0.004820,-0.375947,0.081813,0.048264,0.023819,0.453483,0.149241,0.902962,0.206295,-0.454561,0.206891,0.001500,0.88,-0.725,32.0
1.013936,0.006766,0.846062,0.112391,0.107529,0.033322,0.374167,0.209357,-0.484159,0.281023,-0.053362,0.280887,0.001500,0.65,-0.615,32.0
0.982215,0.005020,-0.181389,0.083787,0.066274,0.024860,0.554733,0.156558,0.724343,0.211116,-0.705331,0.211824,0.001500,0.88,-0.615,32.0
1.012599,0.006700,0.792310,0.110224,0.105517,0.033107,0.174283,0.205293,-0.326749,0.283430,-0.030432,0.283317,0.001500,0.65,-0.505,32.0
0.981960,0.005414,-0.339449,0.091121,0.015265,0.026950,0.348945,0.168653,0.910277,0.229151,-0.686537,0.229888,0.001500,0.88,-0.505,32.0
0.965318,0.006511,0.803636,0.108276,-0.046175,0.032811,0.484670,0.202834,-0.100851,0.276073,-0.158734,0.276207,0.001500,0.65,-0.395,32.0
0.994470,0.005962,0.116677,0.100554,0.002384,0.029752,0.307511,0.184935,0.876387,0.251206,-0.448546,0.251858,0.001500,0.88,-0.395,32.0
1.009180,0.006980,0.825009,0.116310,-0.006158,0.034857,0.025192,0.218424,0.295256,0.293482,-0.081622,0.293766,0.001500,0.65,-0.285,32.0
0.954111,0.006208,-0.052843,0.104249,-0.007271,0.030948,-0.030589,0.192088,0.468892,0.264405,-0.410427,0.264894,0.001500,0.88,-0.285,32.0
0.970699,0.006984,0.946686,0.117668,-0.033237,0.034866,-0.146559,0.216820,0.621422,0.296074,-0.338507,0.296700,0.001500,0.65,-0.175,32.0
1.005792,0.006985,-0.245427,0.119094,-0.059221,0.035029,0.266035,0.218010,0.900613,0.296256,-0.838632,0.297317,0.001500,0.88,-0.175,32.0
0.972169,0.007235,0.765147,0.122098,-0.030226,0.036190,-0.327473,0.224441,0.165992,0.304292,-0.654558,0.304864,0.001500,0.65,-0.065,32.0
0.997569,0.007317,0.053431,0.123669,-0.073076,0.036921,0.084302,0.229465,1.157280,0.310132,-0.469606,0.311121,0.001500,0.88,-0.065,32.0
