intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
1.087725,0.016361,1.259700,0.258988,0.506551,0.071867,1.395153,0.478670,0.220813,0.705274,-0.432477,0.708639,0.001500,0.65,-0.945,23.8
0.955886,0.031567,1.564694,0.471944,0.580549,0.140530,2.199071,0.852580,0.747103,1.286496,0.155843,1.288323,0.001500,0.88,-0.945,23.8
0.937023,0.012402,1.025024,0.191567,0.317539,0.057082,1.510643,0.365092,-0.885940,0.537557,-0.770491,0.538530,0.001500,0.65,-0.835,23.8
1.031852,0.031509,1.221178,0.468931,0.448422,0.144025,1.800106,0.904250,-0.859568,1.289590,1.372853,1.282621,0.001500,0.88,-0.835,23.8
1.009462,0.012996,1.333660,0.202916,0.081139,0.062923,1.732868,0.391367,-0.100475,0.557849,-0.710018,0.559481,0.001500,0.65,-0.725,23.8
1.147769,0.034694,1.713925,0.577407,0.333480,0.157274,1.223927,1.006165,-0.079744,1.505837,0.379239,1.503315,0.001500,0.88,-0.725,23.8
0.957061,0.012290,1.354402,0.195570,0.004845,0.059365,1.578263,0.370948,-0.340845,0.533294,-0.207356,0.533572,0.001500,0.65,-0.615,23.8
0.912657,0.027856,0.687212,0.442865,0.064513,0.133476,1.849586,0.838598,-0.723794,1.182568,0.036317,1.181064,0.001500,0.88,-0.615,23.8
0.995582,0.012725,0.574927,0.205752,-0.112915,0.062473,-0.237237,0.397402,-0.196987,0.551537,-0.484634,0.552611,0.001500,0.65,-0.505,23.8
1.098190,0.033179,1.917924,0.510235,-0.045943,0.164087,0.901910,1.026940,0.169288,1.275099,-2.496881,1.289263,0.001500,0.88,-0.505,23.8
0.914874,0.011304,0.814612,0.181996,-0.060487,0.053810,0.607733,0.346177,-0.156263,0.482377,-0.661044,0.483634,0.001500,0.65,-0.395,23.8
1.106995,0.032709,2.086720,0.539054,0.162855,0.148267,2.147139,0.942756,1.230539,1.301901,-0.981399,1.304398,0.001500,0.88,-0.395,23.8
0.951454,0.011851,1.055570,0.195289,-0.259816,0.059797,0.262873,0.361691,-0.469621,0.500939,-0.040871,0.499502,0.001500,0.65,-0.285,23.8
0.918554,0.026130,1.138984,0.420024,-0.177071,0.125641,-0.251113,0.823013,1.113234,1.128627,1.028365,1.128636,0.001500,0.88,-0.285,23.8
1.042710,0.013350,1.240372,0.212535,-0.100933,0.065146,0.160846,0.412826,-0.316517,0.573871,-0.846258,0.575927,0.001500,0.65,-0.175,23.8
0.974975,0.028779,1.499271,0.450515,-0.175696,0.141849,1.453489,0.867193,0.026026,1.222489,-0.132907,1.223824,0.001500,0.88,-0.175,23.8
1.019476,0.013601,1.015445,0.219298,-0.174448,0.067738,-0.162849,0.437613,-0.212574,0.567585,0.227651,0.567545,0.001500,0.65,-0.065,23.8
0.953549,0.027826,1.741164,0.460391,-0.189941,0.137472,-0.896850,0.832426,-0.167828,1.174086,-0.464935,1.176952,0.001500,0.88,-0.065,23.8
1.064081,0.015094,1.063338,0.248201,-0.251111,0.074486,-1.028589,0.478829,0.689571,0.643781,0.240884,0.645648,0.001500,0.65,0.045,23.8
0.988552,0.031726,1.303801,0.487778,-0.005699,0.153140,1.767575,0.980669,1.043431,1.300162,-0.959016,1.309037,0.001500,0.88,0.045,23.8
1.024922,0.019984,1.293984,0.301083,0.352920,0.093827,1.977389,0.590653,-1.414776,0.862249,0.240863,0.859282,0.001500,0.65,-0.945,32.0
0.973480,0.042312,0.435613,0.643948,0.245765,0.204028,2.059408,1.200100,0.553376,1.815184,0.233875,1.816726,0.001500,0.88,-0.945,32.0
1.037062,0.016641,1.270544,0.259354,0.336319,0.077546,2.055374,0.496170,-0.793591,0.691963,-0.575185,0.691560,0.001500,0.65,-0.835,32.0
1.223734,0.042426,1.550427,0.597287,0.601185,0.198617,2.443869,1.200245,-1.052945,1.867644,-0.278961,1.865717,0.001500,0.88,-0.835,32.0
1.095941,0.016574,1.196368,0.260673,0.195541,0.079266,2.294200,0.498738,-0.348181,0.699968,-0.220368,0.700750,0.001500,0.65,-0.725,32.0
0.917132,0.029384,1.319899,0.448466,0.193891,0.133545,1.833082,0.837791,0.427786,1.277853,0.367434,1.277788,0.001500,0.88,-0.725,32.0
1.042826,0.014903,1.551140,0.236782,0.021606,0.071544,1.155499,0.452655,0.603620,0.648661,0.061994,0.650373,0.001500,0.65,-0.615,32.0
1.078581,0.033177,0.253468,0.530552,-0.089513,0.166874,1.669400,1.060470,-2.940258,1.243315,-0.139259,1.232397,0.001500,0.88,-0.615,32.0
