real    0m10,293s
user    0m10,410s
sys     0m0,492s

Mon Mar 13 07:34:44 2023    output.dat

         289976 function calls (284001 primitive calls) in 9.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.000    0.000    1.460    0.021 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/ICUp_Atm.py:112(BinMC)
      271    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/dtypes/common.py:680(is_integer_dtype)
      284    0.000    0.000    0.001    0.000 /usr/lib/python3.10/re.py:202(sub)
       65    0.000    0.000    0.019    0.000 /usr/lib/python3.10/sre_parse.py:944(parse)
      216    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2409(_)
       16    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/filters.py:146(fill_dcpl)
      212    0.000    0.000    0.022    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2783(_get_version)
      482    0.000    0.000    0.006    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1398(_get_metadata_path)
      138    0.000    0.000    0.065    0.000 <__array_function__ internals>:2(ravel_multi_index)
     53/7    0.000    0.000    0.161    0.023 <frozen importlib._bootstrap>:1022(_find_and_load)
      129    0.000    0.000    0.007    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2302(fixup_namespace_packages)
      702    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      141    0.000    0.000    0.022    0.000 <__array_function__ internals>:2(atleast_2d)
      114    0.000    0.000    0.013    0.000 <__array_function__ internals>:2(copyto)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       82    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3719(__init__)
    52/10    0.000    0.000    0.160    0.016 <frozen importlib._bootstrap>:664(_load_unlocked)
      146    0.000    0.000    0.003    0.000 /usr/lib/python3.10/codecs.py:319(decode)
      138    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(append)
      272    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1309(safe_name)
       84    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3390(__init__)
     53/7    0.000    0.000    0.161    0.023 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        1    0.000    0.000    0.240    0.240 /home/pablofer/.local/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py:215(read)
        1    0.000    0.000    0.308    0.308 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Oscillations/AtmOsc.py:13(__init__)
       52    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:1016(__init__)
      138    0.000    0.000    0.001    0.000 {method 'prod' of 'numpy.ndarray' objects}
      141    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.ndarray' objects}
       16    0.000    0.000    8.179    0.511 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:319(ModelTester)
      138    0.000    0.000    0.946    0.007 <__array_function__ internals>:2(histogramdd)
      296    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1603(_has)
      138    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ravel)
      154    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3/dist-packages/numpy/lib/arraysetops.py:320(_unique1d)
       71    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2123(sum)
        1    0.000    0.000    0.015    0.015 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1(<module>)
   131/65    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3363(copy)
    61/11    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3288(leaveWhitespace)
       32    0.000    0.000    8.180    0.256 /usr/lib/python3/dist-packages/scipy/optimize/_optimize.py:67(_compute_if_needed)
        1    0.000    0.000    0.011    0.011 /home/pablofer/.local/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py:344(_concatenate_chunks)
       17    0.000    0.000    7.562    0.445 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:48(ComputeBinnedExpectation)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
       65    0.000    0.000    0.008    0.000 /usr/lib/python3.10/sre_compile.py:622(_code)
   131/65    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3365(<listcomp>)
       17    0.000    0.000    0.360    0.021 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:98(SetBinnedExpectedEvents)
      130    0.000    0.000    0.013    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:3292(<genexpr>)
        9    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/files.py:354(__init__)
      143    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/_methods.py:54(_any)
        1    0.000    0.000    0.140    0.140 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1(<module>)
      106    0.000    0.000    0.038    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/PhysicsTunes.py:45(GetFlux)
       17    0.000    0.000    1.134    0.067 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:59(ComputeBinnedDiffExpectation)
       12    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:2653(__init__)
       26    0.000    0.000    0.012    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:2779(__init__)
  152/143    0.000    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:306(inner)
       16    0.000    0.000    0.001    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/Fitter/ChiSquared.py:14(ChiSquared)
       83    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1821(__add__)
       17    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/frame.py:3463(__getitem__)
      138    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/_methods.py:50(_prod)
       27    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1039(_trim_arity)
     45/8    0.000    0.000    0.159    0.020 <frozen importlib._bootstrap_external>:877(exec_module)
       25    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:483(Union)
     46/1    0.000    0.000    9.794    9.794 {built-in method builtins.exec}
       30    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1894(get_metadata)
       45    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
