Mon Apr  3 16:01:39 2023    output.dat

         348330 function calls (343552 primitive calls) in 3.735 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      228    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:447(_simple)
      227    0.000    0.000    0.019    0.000 {built-in method builtins.next}
      224    0.000    0.000    0.000    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:43(_check)
      223    0.003    0.000    0.003    0.000 {method 'splitlines' of 'str' objects}
      221    0.002    0.000    0.002    0.000 {built-in method io.open}
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      218    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
    218/8    0.001    0.000    0.261    0.033 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    218/8    0.001    0.000    0.262    0.033 <frozen importlib._bootstrap>:1022(_find_and_load)
  218/182    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      217    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2409(_)
      217    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:515(<genexpr>)
      217    0.000    0.000    0.000    0.000 /usr/lib/python3.10/weakref.py:415(__getitem__)
      217    0.000    0.000    0.000    0.000 /usr/lib/python3.10/functools.py:818(dispatch)
      217    0.000    0.000    0.004    0.000 /usr/lib/python3.10/functools.py:884(wrapper)
      215    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      214    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      214    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      214    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      213    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      212    0.001    0.000    0.025    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2561(_version_from_file)
      212    0.000    0.000    0.025    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2783(_get_version)
      212    0.000    0.000    0.026    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2992(_reload_version)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      209    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  209/204    0.000    0.000    0.041    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
   209/11    0.001    0.000    0.260    0.024 <frozen importlib._bootstrap>:664(_load_unlocked)
